s ɪ z ɹ̩ z	s ɪ z ɹ s
ɫ a ɪ b ɹ ɛ ɹ i	ɫ a ɪ b ɹ ɛ j i
b ɹ ɪ d͡ʒ	b ɹ ɪ t͡ʃ
m a ʊ θ	m ɒ ʊ θ
m æ t͡ʃ	m a t͡ʃ
b æ s k ə t	b a s k ə t
d ɹ e ɪ n	d ɹ i ɪ n
p ɛ n	ʔ ɛ n
p ɫ e ɪ t	p ɫ i ɪ t
w a ɪ ɹ̩	w a ʊ ɹ
ɹ ɑ d	ɹ ɑ t
- s t æ m p	ə s t a m p
m æ p	m a p
t ɹ e ɪ n	t ɹ i ɪ n
k ɔ ɹ d	ʔ ɔ - t
- s k w ɛ ɹ	ə s k w ɛ ɹ
b ɹ ə ʃ	b ɹ ə ʃ
k ʊ ʃ ə n	ʔ ʊ - ə n
k e ɪ k	ʔ i ɪ k
p a ɪ p	ʔ a ɪ p
- s t ɹ i t	ə s t ɹ i t
b e ɪ s ə n	b i ɯ - ə n
t͡ʃ i z	t͡ʃ i s
- s t e ɪ ʃ ə n	ə s t i ɯ - ə n
w ɑ t͡ʃ	w ɑ t͡ʃ
s n e ɪ k	s n i ɪ k
k ə p	ʔ ə p
