h ɑ s p ɪ t ə ɫ	h ɑ - p ɪ t ə ɫ
m ə s ə ɫ	m ə s ə ɫ
f ɑ ɹ m	f ɑ - m
w ɪ ŋ	w ɪ ŋ
f ɛ ð ɹ̩	f ɛ ð ɹ
b e ɪ s ə n	b e ɪ s ə n
d ɔ ɡ	d ɔ k
s ɪ z ɹ̩ z	s ɪ z ɹ s
k ɛ t ə ɫ	k ɛ t ə ɫ
k ɫ a ʊ d	- ɫ ɑ ʊ t
ɹ ɑ d	ɹ ɑ t
- s k u ɫ	ə - k u ɫ
b ɑ t ə ɫ	b ɑ t ə ɫ
b ɔ ɫ	b ɔ ɫ
t ə ŋ	t ə ŋ
t ɹ a ʊ z ɹ̩ z	- ɹ ɑ ʊ z ɹ s
b o ʊ n	b o ʊ n
b ɛ ɫ	b ɛ ɫ
f ɔ ɹ k	f ɔ - ɡ
h ɔ ɹ s	h ɔ - z
n ɑ t	n ɑ t
b ɹ̩ d	b ɹ t
m ə ŋ k i	m ə - ɡ i
t o ʊ	t o ʊ
k a ʊ	k ɑ ʊ
m æ t͡ʃ	m a t͡ʃ
ɔ f ɪ s	ɔ f ɪ s
s ə n	s ə n
k i	k i
θ - ɹ o ʊ t	θ ə j o ʊ t
b ə k ə t	b ə k ə t
f - ɹ e ɪ m	f ə j e ɪ m
t u θ	t u θ
f a ʊ ɫ	f ɑ ʊ ɫ
m æ p	m a p
t ɹ e ɪ	- ɹ e ɪ
k ɔ ɹ d	k ɔ - d
k ɑ ɹ d	k ɑ - d
- s t e ɪ ʃ ə n	ə - t e ɪ ʃ ə n
n o ʊ z	n o ʊ s
ɡ ə n	ɡ ə n
f e ɪ s	f e ɪ s
p ɫ e ɪ t	- ɫ e ɪ t
f - ɫ æ ɡ	f ə j a k
i ɹ	i ɹ
t ɪ k ə t	t ɪ k ə t
w ɪ n d o ʊ	w ɪ - d o ʊ
b ɑ k s	b ɑ - s
s ɑ k	s ɑ k
- s p ə n d͡ʒ	ə - p ə - d͡ʒ
ɡ ɹ̩ ɫ	ɡ ɹ ɫ
- s k ɪ n	ə - k ɪ n
t e ɪ b ə ɫ	t e ɪ j ə ɫ
ʃ ɪ p	ʃ ɪ p
θ - ɹ ɛ d	θ ə j ɛ t
b ɛ d	b ɛ t
- s k ɹ u	ə - k ɹ u
t͡ʃ ɹ̩ t͡ʃ	t͡ʃ ɹ t͡ʃ
h ɛ ɹ	h ɛ ɹ
s i d	s i t
ɫ a ɪ n	ɫ a ɪ n
b o ʊ t	b o ʊ t
- s k w ɛ ɹ	ə - k w ɛ ɹ
t͡ʃ ɪ n	t͡ʃ ɪ n
ɫ a ɪ b ɹ ɛ ɹ i	ɫ a ɪ - ɹ ɛ j i
- s k ɹ̩ t	ə - k ɹ t
b ɹ e ɪ k	- ɹ e ɪ k
n ɹ̩ v	n ɹ f
p ɑ ɹ s ə ɫ	p ɑ - z ə ɫ
k ɫ ɑ k	- ɫ ɑ k
ʃ u	ʃ u
w ɑ t͡ʃ	w ɑ t͡ʃ
b i	b i
t ɹ e ɪ n	- ɹ e ɪ n
b ɔ ɹ d	b ɔ - d
ʃ ɛ ɫ f	ʃ ɛ - v
- s t ɔ ɹ	ə - t ɔ ɹ
m a ʊ θ	m ɑ ʊ θ
- s t ɪ k	ə - t ɪ k
s e ɪ ɫ	s e ɪ ɫ
b æ s k ə t	b a - k ə t
b ə t ə n	b ə t ə n
b ɹ ɪ d͡ʒ	- ɹ ɪ t͡ʃ
p ə m p	p ə - b
h a ʊ s	h ɑ ʊ s
p ɛ n s ə ɫ	p ɛ d z ə ɫ
b ɹ ɪ k	- ɹ ɪ k
t͡ʃ i z	t͡ʃ i s
æ n t	a - d
ʃ i p	ʃ i p
t a ʊ n	t ɑ ʊ n
θ ə m	θ ə m
- s t ɑ k ɪ ŋ	ə - t ɑ k ɪ ŋ
k o ʊ m	k o ʊ m
a ɪ	a ɪ
h ɛ d	h ɛ t
f - ɫ a ɪ	f ə j a ɪ
k e ɪ k	k e ɪ k
