kæɹɪd͡ʒ	kajɪt͡ʃ	[8, 12]
beɪsən	beɪsən	[]
dɔɡ	dɔk	[8]
sɪzɹ̩z	sɪzɹs	[8]
kɛtəɫ	kɛtəɫ	[]
kɫaʊd	ɫɑʊt	[3, 8, 14]
ɹɑd	ɹɑt	[8]
skuɫ	əkuɫ	[1, 14]
bɑtəɫ	bɑtəɫ	[]
bɔɫ	bɔɫ	[]
təŋ	təŋ	[]
tɹaʊzɹ̩z	ɹɑʊzɹs	[3, 8, 14]
boʊn	boʊn	[]
bɛɫ	bɛɫ	[]
fɔɹk	fɔɡ	[11, 14]
hɔɹs	hɔz	[11, 14]
nɑt	nɑt	[]
bɹ̩d	bɹt	[8]
məŋki	məɡi	[11, 14]
toʊ	toʊ	[]
kaʊ	kɑʊ	[3]
mæt͡ʃ	mat͡ʃ	[]
ɔfɪs	ɔfɪs	[]
sən	sən	[]
ki	ki	[]
θɹoʊt	θəjoʊt	[6, 12]
bəkət	bəkət	[]
fɹeɪm	fəjeɪm	[6, 12]
tuθ	tuθ	[]
faʊɫ	fɑʊɫ	[3]
mæp	map	[]
tɹeɪ	ɹeɪ	[14]
kɔɹd	kɔd	[8, 11, 14]
kɑɹd	kɑd	[8, 11, 14]
steɪʃən	əteɪʃən	[1, 14]
noʊz	noʊs	[8]
ɡən	ɡən	[]
feɪs	feɪs	[]
pɫeɪt	ɫeɪt	[14]
fɫæɡ	fəjak	[6, 8, 12]
iɹ	iɹ	[]
tɪkət	tɪkət	[]
wɪndoʊ	wɪdoʊ	[14]
bɑks	bɑs	[14]
sɑk	sɑk	[]
spənd͡ʒ	əpəd͡ʒ	[1, 8, 11, 14, 14]
ɡɹ̩ɫ	ɡɹɫ	[]
skɪn	əkɪn	[1, 14]
teɪbəɫ	teɪjəɫ	[5]
ʃɪp	ʃɪp	[]
θɹɛd	θəjɛt	[6, 8, 12]
bɛd	bɛt	[8]
skɹu	əkɹu	[1, 14]
t͡ʃɹ̩t͡ʃ	t͡ʃɹt͡ʃ	[]
hɛɹ	hɛɹ	[]
sid	sit	[8]
ɫaɪn	ɫaɪn	[]
boʊt	boʊt	[]
skwɛɹ	əkwɛɹ	[1, 14]
t͡ʃɪn	t͡ʃɪn	[]
ɫaɪbɹɛˌɹi	ɫaɪɹɛji	[12, 14]
skɹ̩t	əkɹt	[1, 14]
bɹeɪk	ɹeɪk	[14]
nɹ̩v	nɹf	[8]
pɑɹsəɫ	pɑzəɫ	[11, 14]
kɫɑk	ɫɑk	[14]
ʃu	ʃu	[]
wɑt͡ʃ	wɑt͡ʃ	[]
bi	bi	[]
tɹeɪn	ɹeɪn	[14]
bɔɹd	bɔd	[8, 11, 14]
ʃɛɫf	ʃɛv	[11, 14]
stɔɹ	ətɔɹ	[1, 14]
maʊθ	mɑʊθ	[3]
stɪk	ətɪk	[1, 14]
seɪɫ	seɪɫ	[]
bæskət	bakət	[14]
bətən	bətən	[]
bɹɪd͡ʒ	ɹɪt͡ʃ	[8, 14]
pəmp	pəb	[11, 14]
haʊs	hɑʊs	[3]
pɛnsəɫ	pɛdzəɫ	[9, 11, 11, 14]
bɹɪk	ɹɪk	[14]
t͡ʃiz	t͡ʃis	[8]
ænt	ad	[11, 14]
ʃip	ʃip	[]
taʊn	tɑʊn	[3]
θəm	θəm	[]
stɑkɪŋ	ətɑkɪŋ	[1, 14]
koʊm	koʊm	[]
aɪ	aɪ	[]
hɛd	hɛt	[8]
fɫaɪ	fəjaɪ	[6, 12]
keɪk	keɪk	[]
